問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　製造設備（ガスホルダー、液化ガス用貯槽及び特定ガス発生設備を除く。）には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合にガス又は液化ガスの流出及び流入を速やかに遮断することができる適切な装置を適切な箇所に設けなければならない。

ロ　移動式ガス発生設備は、ガス又は液化ガス（不活性のものを除く。)が漏えいした場合の火災等の発生を防止するため、適切な場所に設置し、容易に移動又は転倒しないように適切な 措置が講じられていなければならない。

ハ　容器に附属する気化装置内においてガスを発生させる特定ガス発生設備であって当該気化装置を電源によって操作するものは、自家発電機その他の操作用電源が停止した際にガスの供給を遮断するための装置を設けなければならない。

二　ガスの通ずる部分に直接液体又は気体を送入する装置を有する製造設備（移動式ガス発生 設備を含む。）は、送入部分を通じてガスが逆流することによる設備の損傷又はガスの大気への放出を防止するため逆流が生じない構造のものでなければならない。

ホ　気化装置又はそれに接続される配管等には、気化装置からガスの流出を防止する措置を講じなければならない。 ただし、気化装置からのガスの流出を考慮した設計である場合は、この限りでない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,ハ、ホ
技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはどれか。,水のたまるおそれのある導管には、適切な勾配を設けなければならない。,導管には、設置された状況により腐食を生するおそれがある場合にあっては、当該導管の腐食を防止するための適切な措置を講じなければならない。,道路に埋設される本支管（最高使用圧力が5kPa以上のポリエチレン管に限る。）には、掘削等による損傷を防止するための適切な措置を講じなければならない。,最高使用圧力が低圧の本支管であって、特定地下街等へのガスの供給に係るものには、当該特定地下街等において災害が発生した場合に、当該特定地下街等へのガスの供給を、当該災害により妨げられない箇所において、容易に遮断することができる適切な措置を講じなければならない。,ガス事業者がガスの使用者との取引のために使用するガスメーター（使用最大流量が毎時 16m2以下使用最大圧力が4kPa以下及び口径250mm以下のものに限る。）は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、過大なガスの流量又は異常なガス圧力の低下を検知した場合に、ガスを速やかに遮断する機能を有するものでなければならない。,,,,,水のたまるおそれのある導管には、適切な勾配を設けなければならない。
"""技術基準で規定されている導管に関する次の記述のうち、誤っているものはいくつあるか。
ただし、イ、口については、漏えい検査を行う区間に漏えい検知装置が設置されておらず、検査にあたって導管等が設置されている場所に立ち入ることができるものとする。 

イ　道路に埋設されている導管からガス栓までの間に絶縁措置が講じられており当該絶縁措置が講じられた部分からガス栓までの間でプラスチックにて被覆された部分は、埋設の日以後6年に1回以上、適切な方法により検査を行い、 漏えいが認められなかったものでなければならない。

ロ　道路に埋設されている導管からガス栓までの間に設置されているポリエチレン管は、埋設 の日以後6年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。

ハ　最高使用圧力が高圧の導管は、建物の内部又は基礎面下（当該建物がガスの供給に係るものを除く。）に設置してはならない。ただし、ガスが滞留するおそれがない場所に設置されるものは除く。

二　特定ガス発生設備により発生させたガスを供給するための導管を地盤面上に設置する場合においてその周辺に危害を及ぼすおそれのあるときは、その見やすい箇所に当該導管によ り供給するガスの圧力、当該導管に異常を認めたときの連絡先その他必要な事項を明瞭に記載した危険標識を設けること。

ホ　本導管を共同溝に設置する場合は、ガス漏れにより当該共同溝及び当該共同溝に設置された他の物件の構造又は管理に支障を及ぼすことがないよう導管に適切な措置を講じ、かつ、適切な措置が講じられた共同溝内に設置しなければならない。""",1,2,3,4,5,,,,,3
"""技術基準で規定されている整圧器に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）浸水のおそれのある地下に設置する整圧器には、浸水を防止するための措置を講じなければならない。

（ロ）ガス中の水分の凍結により整圧機能を損なうおそれのある整圧器には、凍結を防止するための措置を講じなければならない。

（ハ）最高使用圧力が中圧の整圧器には、ガスの漏えいによる火災等の発生を防止するための適切な措置を講じなければならない。

（二）一の使用者にガスを供給するための整圧器には、入口に不純物を除去する装置を設けるとともに、ガスの圧力が異常に上昇することを防止する装置を設けなければならない。

（ホ）整圧器の制御用配管、補助整圧器その他の附属設備は、地震に対し耐えるように支持されていなければならない。""",イ、ロ,イ、ハ,ロ、ホ,ハ、二,二、ホ,,,,,ハ、二
法令で規定されているガス用品及び「特定ガス消費機器の設置工事の監督に関する法律」（以下「特監法」という。）に関する次の記述のうち、誤っているものはどれか。,「ガス用品」とは、主として一般消費者等がガスを消費する場合に用いられる機械器具又は材料（液化石油ガス器具等を除く。）であって政令で定めるものをいう。,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、開放燃焼式のガス瞬間湯沸器等がある。,特監法の目的は、 特定ガス消費機器の設置又は変更の工事の欠陥に係るガスによる災害の発生を防止するため、これらの工事の事業を行う者の工事の監督に関する義務等を定めることである。,「特定工事」とは、特定ガス消費機器の設置又は変更の工事（経済産業省令で定める軽微なものを除く。）をいう。,経済産業大臣が経済産業省令で定めるところにより行う特定工事に必要な知識及び技能に関する講習の課程を修了した者、及び液化石油ガス設備士は、ガス消費機器設置工事監督者の有資格者である。,,,,,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、開放燃焼式のガス瞬間湯沸器等がある。
"""法令で規定されている消費機器に関する調査、保安業務規程及びガス事業者間の連携協力に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ガス小売事業者は、調査の結果、消費機器が経済産業省令で定める技術上の基準に適合していないと認めるときは、速やかにその使用を禁止しなければならない。

（ロ）ガス小売事業者は、保安業務規程を変更したときは、遅滞なく、変更した事項を経済産業大臣に届け出なければならない。

（ハ）経済産業大臣は、保安業務の適正な実施を確保するため必要があると認めるときは、保安統括者に対し、保安業務規程を変更すべきことを命ずることができる。

（二）ガス小売事業者及びその従業者は、保安業務規程を守らなければならない。 

（ホ）ガス事業者は、公共の安全の維持又は災害の発生の防止に関し、相互に連携を図りながら協力しなければならない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ハ
"""法令で規定されている消費機器の技術上の基準に関する次の記述のうち、（イ）〜（ホ）にあてはまる数値及び語句の組合せとして最も適切なものはどれか。

次に掲げる燃焼器（屋内に設置するものに限り、（イ） のものを除く。）には当該燃燒器に接続して排気筒を設けること。ただし、当該燃焼器の構造上その他の理由によりこれによ ることが困難な場合において、当該消費機器のための、 （口） を設けるときは、この限りでない。

ガス調理機器（ガスの消費量が12kWを超えるもの）
（ハ） （暖房兼用のものを含み、ガスの消費量が12kWを超えるもの）
（二） （暖房兼用のものを含み、 ガスの消費量が7kWを超えるもの）
ガス常圧貯蔵湯沸器（ガスの消費量が7kWを超えるもの）
ガスふろがま 
ガスストーブ（ガスの消費量が7kWを超えるもの）
ガス衣類乾燥機（ガスの消費量が（ホ）kWを超えるもの）""
",・密閉燃燒式　　・専用の排気口　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・７,・密閉燃燒式　　・排気フード　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・１２,・密閉燃燒式　　・排気フード　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・１２,"・強制排氣式　　・排気フード　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・７
",・強制排氣式　　・専用の排気口　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・７,,,,,・密閉燃燒式　　・排気フード　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・１２
"""法令で規定されているガス事業法の目的に関する次の記述について、(イ)〜(ホ)の語句のうち、正しいものはいくつあるか 
この法律は、「(イ)国の関与を最小限に」することによって、「(ロ)ガス事業者の自主保安体制を確立」し、及びガス事業の健全な発達を図るとともに、「(ハ) ガス主任技術者」並びに「(ニ)保安規程」によって、公共の安全を確保し、あわせて「(ホ)公害の防止」を図ることを目的とする。""",1,2,3,4,5,,,,,1
法令で規定されているガス小売事業者が行う供給条件の説明、熱量等の測定、及び成分の検査に関する次の記述のうち、誤っているものはどれか。,ガス小売事業者は、小売供給を受けようとする者と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、経済産業大臣に届け出なければならない。,ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの熱量、圧力及び燃焼性を測定し、その結果を記録し、これを保存しなければならない。,特定ガス発生設備に係る場合にあっては、供給するガスの燃焼性を測定することを要しない。,ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの成分のうち、人体に危害を及ぼし、又は物件に損傷を与えるおそれがあるものの量が経済産業省令で定める数量を超えていないかどうかを検査し、その量を記録し、これを保存しなければならない。,天然ガスを主成分とするガスにあっては、硫黄全量、硫化水素及びアンモニアの成分検査を要しない。,,,,,ガス小売事業者は、小売供給を受けようとする者と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、経済産業大臣に届け出なければならない。
"""次のガス事故のうち、ガス事故速報を報告することが法令で規定されている事故に、いずれも該当しないものの組合せはどれか。
ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く。

イ　ガス工作物(ガス栓を除く。)の損傷により人が負傷した事故

口　製造支障事故であって、製造支障時間が6時間のもの

ハ　供給支障事故であって、供給支障戸数が500のもの

二　最高使用圧力が低圧の主要なガス工作物(ガス栓を除く。)の損壊事故

ホ　ガス栓の損壊によりガス栓から漏えいしたガスに引火することにより、発生した負傷事故""",イ、ロ,イ、ハ,ロ、ニ,ハ、ホ,ニ、ホ,,,,,ロ、ニ
"""法令で規定されているガス主任技術者に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　ガス工作物の設置の工事であって、経済産業省令で定める工事に従事する者は、ガス主任技術者でなければならない。

ロ　一般ガス導管事業者は、ガス主任技術者を選任するときは、事前にその旨を経済産業大臣に届け出なければならない。これを解任するときも、同様とする。

ハ　ガス主任技術者試験は、ガス工作物の工事、維持及び運用に関する保安に関して必要な知識及び技能について行う。

ニ　ガス主任技術者は、誠実にその職務を行わなければならない。

ホ　経済産業大臣は、ガス主任技術者がこの法律に違反したときは、一般ガス導管事業者に対し、ガス主任技術者の解任を命ずることができる。""",イ、ロ,イ、ニ,口、ハ,ハ、ホ,二、ホ,,,,,イ、ロ
"""法令で規定されている工事計画及び使用前検査に関する次の記述について、(イ)～(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。

ガス製造事業者は、ガス製造事業の用に供するガス工作物の設置又は　（イ）　の工事であって、経済産業省令で定めるものをしようとするときは、その工事の計画を経済産業大臣に届け出なければならない。
ガス製造事業者は、経済産業省令で定めるものの工事について自主検査を行い、その結果について　（ロ）　が行う検査を受け、これに合格した後でなければ、これを使用してはならない。ただし、ガス工作物を　（ハ）　に使用する場合(そのガス工作物に係るガスを使用者に供給する場合にあっては、当該ガス工作物の使用の方法を変更するごとにガスの　（二）　を測定して供給する場合に限る。)は、この限りでない。
ガス製造事業者は、経済産業省令で定めるところにより、自主検査の記録を作成し、これを　（ホ）　年間保存しなければならない。""",（イ）改造　　（ロ）経済産業大臣　　（ハ）試験のため　　（二）燃焼性　　（ホ）３,（イ）変更　　（ロ）登録ガス工作物検査機関　　（ハ）試験のため　　（二）熱量等　　（ホ）５,（イ）変更　　（ロ）経済産業大臣　　（ハ）緊急時　　（二）熱量等　　（ホ）３,（イ）変更　　（ロ）経済産業大臣　　（ハ）試験のため　　（二）燃焼性　　（ホ）５,（イ）改造　　（ロ）登録ガス工作物検査機関　　（ハ）緊急時　　（二）熱量等　　（ホ）３,,,,,（イ）変更　　（ロ）登録ガス工作物検査機関　　（ハ）試験のため　　（二）熱量等　　（ホ）５
"""ガス工作物及び保安物件に関する次の記述のうち、いずれも技術基準で規定されているものの組合せはどれか。ただし、ガス工作物は、不活性のガス(空気を含む。)又は不活性の液化ガスのみを通ずるものではない。

（イ）　ガス発生器及び増熱器は、その製造所の敷地境界から保安物件に対し告示で定める距離を有しなければならない。

（ロ）　劇場、映画館、演芸場、公会堂その他これらに類する施設であって、収容定員300人以上のもの(事業場の存する敷地と同一敷地内にあるものを除く。)は、第1種保安物件に該当する。

（ハ）　ガスの種類、ガス工作物の状況、周囲の状況等の理由によりあらかじめ経済産業大臣に届け出た場合は、告示で定める距離を有しないでガス工作物を施設することができる。

（二）　製造所には、液化ガスを通ずるガス工作物から漏えいしたガスが滞留するおそれのある製造所内の適当な場所に、当該ガスの漏えいを適切に検知し、かつ、警報する設備を設けなければならない。

（ホ）　ガス発生設備及び附帯設備であって製造設備に属するものの液化ガスを通ずる部分は、液化ガスを廃棄できる構造でなければならない。""",イ、ハ,イ、ホ,ロ、ハ,口、二,二、ホ,,,,,口、二
"""技術基準で「ガス工作物のうち、耐圧部分及び液化ガスを通ずる部分は、適切な方法により耐圧試験を行ったときにこれに耐えるものでなければならない。」と規定されている。次のガス工作物のうち、耐圧試験が不要なものはいくつあるか。

イ　液化ガス用ポンプ

ロ　昇圧供給装置

ハ　整圧器

ニ　溶接により接合された海底に設置される導管であって、非破壊試験を行ったときこれに合格したもの

ホ　最高使用圧力が中圧の導管であってそれらの継手部と同一材料、同一寸法及び同一施工方法で接合された試験のための管について、適切な機械試験により確認されたもの""",1,2,3,4,5,,,,,3
技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはどれか。,製造設備を安全に停止させるのに必要な装置その他の製造所及び供給所の保安上重要な設備には、停電等により当該設備の機能が失われることのないよう適切な措置を講じなければならない。,移動式ガス発生設備には、設備の損傷を防止するため使用の状態を計測又は確認できる適切な措置が講じられていなければならない。,製造所に設置する遮断装置には、誤操作を防止し、かつ、確実に操作することができる措置を講じなければならない。,特定事業所に設置する液化ガスを通ずるガス工作物に係る計装回路には、当該設備の態様に応じ、保安上重要な箇所に、適切なインターロック機構を設けなければならない。,ガスホルダーであって、凝縮液により機能の低下又は損傷のおそれがあるものには、ガスホルダーの凝縮液を気化する装置を設けなければならない。,,,,,ガスホルダーであって、凝縮液により機能の低下又は損傷のおそれがあるものには、ガスホルダーの凝縮液を気化する装置を設けなければならない。
"”技術基準で規定されているガス発生設備に関する次の記述のうち、誤っているものはいくつあるか。

・最高使用圧力が低圧の移動式ガス発生設備であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な圧力上昇防止装置を設けなければならない。

・移動式ガス発生設備は、ガスが漏えいした場合の火災等の発生を防止するため、適切な場所に設置し、容易に移動又は転倒しないように適切な措置が講じられていなければならない。

・ガスの通ずる部分に直接液体を送入する装置を有する製造設備 (移動式ガス発生設備を含む。)は、送入部分を通じてガスが逆流することによる設備の損傷又はガスの大気への放出を防止するため逆流が生じない構造のものでなければならない。

・気化装置又はそれに接続される配管等には、気化装置から液化ガスの流出を防止する措置を講じなければならない。ただし、気化装置からの液化ガスの流出を考慮した設計である場合は、この限りでない。

・容器に附属する気化装置内においてガスを発生させる特定ガス発生設備であって当該気化装置を電源によって操作するものは、自家発電機その他の操作用電源が停止した際にガスの供給を速やかに停止するための装置を設けなければならない。”",1,2,3,4,5,,,,,2
"""技術基準で規定されている導管及びガスメーターに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　導管には、設置された状況により腐食を生ずるおそれがある場合にあっては、当該導管の腐食を防止するための適切な措置を講じなければならない。

（ロ）　導管(最高使用圧力が低圧の導管であって、内径が100mm未満のものを除く。)であって、道路の路面に露出しているものは、車両の接触その他の衝撃による振動を軽減するための措置を講じなければならない。

（ハ）　道路に埋設される本支管(最高使用圧力が5kPa以上のポリエチレン管に限る。)には、掘削等による損傷を防止するための適切な措置を講じなければならない。

（二）　ガスの使用場所である地下室等にガスを供給する導管には、その地下室等の付近の適切な場所に、危急の場合に当該地下室等へのガスの供給を地上から速やかに遮断することができる適切な装置を設けなければならない。

（ホ）　ガス事業者がガスの使用者との取引のために使用するガスメーター(使用最大流量が毎時16m2以下、使用最大圧力が4kPa以下及び口径250mm以下のものに限る。)は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、長時間にわたるガスの継続使用又は異常なガス圧力の低下を検知した場合に、ガスを速やかに遮断する機能を 有するものでなければならない。""",イ、ロ,イ、ハ,ロ、ホ,ハ、二,二、ホ,,,,,ロ、ホ
"""技術基準で規定されている導管の漏えい検査に関する次の記述のうち、漏えい検査の対象 から除外されているものはいくつあるか。ただし、導管は、道路に埋設されている導管からガス栓までに設置されており、特定地下室等にガスを供給する導管とする。
（イ）　適切な漏えい検知装置が適切な方法により設置されている場合(当該装置が漏えいを検知することができる部分に限る。)

（ロ）　導管が設置されている場所に立ち入ることにつき、その所有者又は占有者の承諾を得ることができない場合

（ハ）　屋外において、埋設されていない部分がある場合(当該埋設されていない部分に限る。 

（ニ）　ポリエチレン管を使用している場合(当該使用している部分に限る。)

（ホ）　導管に絶縁措置が講じられており当該絶縁措置が講じられた部分からガス栓までの間でプラスチックにて被覆された部分""",1,2,3,4,5,,,,,4
技術基準に規定されているガス事業者の掘削により周囲が露出することとなった導管の防 護の基準、 昇圧供給装置及び整圧器に関する次の記述のうち、誤っているものはどれか。,露出している部分がガスの供給の用に供されている導管の印ろう型接合による接合部には、漏えいを防止する適切な措置を講ずること。,露出している部分がガスの供給の用に供されている直管以外の管の接合部であって、特定接合又は告示で定める規格に適合する接合以外の方法によって接合されているものには、抜出しを防止する適切な措置を講ずること。,導管(最高使用圧力が低圧の導管であって、内径が100mm未満のものを除く。)であって、露出している部分の長さが100m以上であり、かつ、当該部分がガスの供給の用に供されているものについては、危急の場合に当該部分に流入するガスを速やかに遮断することができる適切な措置を講ずること。,昇圧供給装置には、当該装置の運転異常又は当該装置の取扱いにより障害を生じないよう、適切な措置を講じなければならない。,一の使用者にガスを供給するための整圧器には、ガスの圧力が異常に低下した場合に供給を維持する装置を設けること。,,,,,一の使用者にガスを供給するための整圧器には、ガスの圧力が異常に低下した場合に供給を維持する装置を設けること。
法令で規定されているガス用品等に関する次の記述のうち、誤っているものはどれか。,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、政令で定めるものをいう。,ガス用品の製造又は輸入の事業を行う者は、経済産業省令で定めるガス用品の型式の区分を経済産業大臣に申請し認められなければならない。,届出事業者は、届出に係る型式のガス用品を試験用に製造又は輸入する場合においては、経済産業省令で定める技術上の基準に適合することを要しない。,届出事業者は、その届出に係る型式のガス用品の経済産業省令で定める技術上の基準に対する適合性について、規定による義務を履行したときは、当該ガス用品に経済産業省令で定めるところにより、表示を付することができる。,ガス用品が経済産業省令で定める技術上の基準に適合していない場合において、災害の発 生を防止するため特に必要があると認めるとき、経済産業大臣は届出事業者に対し、1年以内の期間を定めて届出に係る型式のガス用品に表示を付することを禁止することができる。,,,,,ガス用品の製造又は輸入の事業を行う者は、経済産業省令で定めるガス用品の型式の区分を経済産業大臣に申請し認められなければならない。
"""法令で規定されている保安業務規程に関する記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　ガス小売事業者は、経済産業省令で定めるところにより、保安業務規程を定め、その事業の開始前に、経済産業大臣に届け出なければならない。

（ロ）　ガス小売事業者は、保安業務規程を変更したときは、遅滞なく、変更した事項を経済産業大臣に届け出なければならない。

（ハ）　経済産業大臣は、保安業務の適正な実施を確保するため必要があると認めるときは、ガス小売事業者に対し、保安業務規程を変更すべきことを命ずることができる。

（ニ）　ガス小売事業者及びその従業者は、保安業務規程を守らなければならない。ただし、災害その他非常の場合であって、ガス小売事業者及びその従業者が行う安全の確保及び応急措置については、この限りでない。
（ホ）　ガス小売事業者が定める保安業務規程には、保安業務を管理する事業場ごとのガス主任技術者の選任に関することを定めなければならない。""",イ、ハ,イ、ニ,ロ、ハ,口、ホ,二、ホ,,,,,二、ホ
"""法令で規定されている消費機器の技術上の基準に関する次の記述のうち、正しいものはいくつあるか。

（イ）　ガスの消費量が7kWの屋内に設置するガス衣類乾燥機で、密閉燃焼式でないものには、当該燃焼器に接続して排気筒を設けること。

（ロ）　排気扇を接続している自然排気式の燃焼器の排気筒の有効断面積は、当該燃焼器の排気部との接続部の有効断面積より小さくないこと。

（ハ）　強制排気式の燃焼器の排気筒が外壁を貫通する箇所には、当該排気筒と外壁との間に排気ガスが屋内に流れ込む隙間がないこと。

（ニ）　燃焼器の排気筒に接続する排気扇には、これが停止した場合に当該燃焼器へのガスの供給を自動的に遮断する装置を設けること。

（ホ）　燃焼器であって、建物区分のうち特定地下街等に設置するものには、告示で定める規格に適合する自動ガス遮断装置を告示で定める方法により設けること。""",1,2,3,4,5,,,,,2
"""「ガス事業法」及び「特定ガス消費機器の設置工事の監督に関する法律」に関する次の記述について、（１）～（５）の語句のうち、正しいものはどれか。
消費機器の設置又は変更の工事は、「（１）ガス用品」の技術上の基準に適合するようにしなければならない。

「特定ガス消費機器」とは、「（２）製造年月日」・使用状況等からみて設置又は変更の工事の欠陥に係るガスによる災害の発生のおそれが多いと認められる消費機器であって、政令で定めるものをいう。

「特定工事」とは、特定ガス消費機器の設置又は変更の工事をいう。 

特定工事事業者は、特定工事を施工するときは、技術上の基準に適合することを確保するため、「（３） 保安業務監督者に選任されている」者に「（４）実地に監督」させなければならない。

特定工事事業者は、特定工事を施工したときは、当該特定工事に係る特定ガス消費機器の見やすい場所に、氏名又は名称、「（５）主要材料」その他の経済産業省令で定める事項を記載した表示を付さなければならない。""",1,2,3,4,5,,,,,4
法令で規定されている用語の定義等に関する次の記述のうち、正しいものはどれか。,「小売供給」とは、一般の需要に応じ導管によりガスを供給すること(特定ガス発生設備 においてガスを発生させ、導管によりこれを供給するものにあっては、一の団地内におけ るガスの供給地点の数が70未満のものに限る。)をいう。,「ガス工作物」とは、ガスの供給のために施設するガス発生設備、ガスホルダー、ガス精 製設備、排送機、圧送機、整圧器、導管、受電設備その他の工作物及びこれらの附属設備であって、ガス事業の用に供するものをいう。,「熱量」とは、標準状態の乾燥したガス22.4L中で測定される総熱量をいう。,「液化ガス」とは、常用の温度において、圧力が0.2MPa以上となる液化ガスであって、現にその圧力が0.2MPa以上であるもの又は圧力が0.2MPaとなる場合の温度が40℃以下である液化ガスをいう。,"高圧ガス保安法中高圧ガスの製造又は販売の事業及び高圧ガスの製造又は販売のための施設に関する規定は、ガス事業及びガス工作物についても、適用しなければならない。
",,,,,「ガス工作物」とは、ガスの供給のために施設するガス発生設備、ガスホルダー、ガス精 製設備、排送機、圧送機、整圧器、導管、受電設備その他の工作物及びこれらの附属設備であって、ガス事業の用に供するものをいう。
"""法令で規定されている一般ガス導管事業者、 特定ガス導管事業者の業務に関する次の記述のうち、誤っているものはいくつあるか。

イ　一般ガス導管事業者は、その供給区域における託送供給に係る料金その他の供給条件について、経済産業省令で定めるところにより、託送供給約款を定め、経済産業大臣に届け出なければならない。

ロ　一般ガス導管事業者は、共同して、経済産業省令で定めるところにより、災害その他の事由による事故によりガスの安定供給の確保に支障が生ずる場合に備えるための災害時連携計画を作成し、経済産業大臣に届け出なければならない。

ハ　一般ガス導管事業者は、経済産業省令で定めるところにより、その最終保障供給に係るガスの成分のうち、人体に危害を及ぼし、又は物件に損傷を与えるおそれがあるものの量が経済産業省令で定める数量を超えていないかどうかを検査し、その結果を経済産業大臣に報告しなければならない。

ニ　特定ガス導管事業者は、正当な理由がなければ、その供給地点における最終保障供給を拒んではならない。

ホ　特定ガス導管事業者は、経済産業省令で定めるところにより、その供給するガスの熱量、圧力及び燃焼性を測定し、その結果を経済産業大臣に報告しなければならない。""",1,2,3,4,5,,,,,4
"""法令で規定されているガス工作物及び保安規程に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物を経済産業省令で定める技術上の基準に適合するように維持しなければならない。

ロ　経済産業大臣は、災害の発生の防止のため緊急の必要があると認めるときは、一般ガス 導管事業者に対し、そのガス工作物を移転し、若しくはその使用を一時停止すべきことを命じ、若しくはその使用を制限し、又はそのガス工作物内におけるガスを廃棄すべきことを命ずることができる。

ハ　一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の工事、維持及び運用に関する保安を確保するため、経済産業省令で定めるところにより、保安規程を定め、事業の開始前に、経済産業大臣の許可を受けなければならない。

ニ　保安規程には、ガス主任技術者が旅行、疾病その他事故によってその職務を行うことができない場合に、その職務を代行する者に関することを定めなければならない。

ホ　保安規程には、導管の工事現場の作業員の条件その他導管の工事現場における保安監督体制に関することを定めなければならない。""
",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""法令で規定されているガス事故の報告について、誤っているものはいくつあるか。ただし、口からホのガス事故は、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものではない。

イ　毎年のガス事故の報告書は、当該年の翌年3月末日までに提出しなければならない。

ロ　ガス事故速報は、事故が発生した時から48時間以内可能な限り速やかに報告しなければならない。

ハ　供給支障事故であって、供給支障戸数が20のものは、ガス事故速報及びガス事故詳報の両方を報告しなければならない。

二　製造支障事故であって、製造支障時間が5時間のものは、ガス事故速報及びガス事故詳報の両方を報告しなければならない。

ホ　消費機器から漏えいしたガスに引火することにより、発生した物損事故(消費機器が損傷した事故であって、人が死亡せず、又は負傷しないものに限る。)は、ガス事故速報及びガス事故詳報の両方を報告しなければならない。""",1,2,3,4,5,,,,,5
法令で規定されているガス主任技術者と立入検査に関する次の記述のうち、誤っているものはどれか。,経済産業大臣は、ガス事業法に違反し、罰金以上の刑に処せられ、その執行を終わり、又は執行を受けることがなくなった日から2年を経過しない者に対しては、ガス主任技術者免状の交付を行わないことができる。,ガス主任技術者免状は、ガス主任技術者試験に合格した者又はその者と同等以上の知識及び技能を有していると経済産業大臣が認定した者でなければ、その交付を受けることができない。,ガス主任技術者試験は、毎年1回ガス主任技術者免状の種類ごとに、経済産業大臣が行う。,経済産業大臣は、ガス主任技術者にその職務を行わせることが一般ガス導管事業の用に供するガス工作物の工事、維持及び運用に関する保安に支障を及ぼすと認めるときは、般ガス導管事業者に対し、ガス主任技術者の解任を命ずることができる。,経済産業大臣は、ガス事業法の施行に必要な限度において、登録ガス工作物検査機関に、ガス事業者の営業所、事務所その他の事業場に立ち入り、帳簿、書類その他の物件を検査させることができる。,,,,,経済産業大臣は、ガス事業法の施行に必要な限度において、登録ガス工作物検査機関に、ガス事業者の営業所、事務所その他の事業場に立ち入り、帳簿、書類その他の物件を検査させることができる。
"""法令で規定されている認定高度保安実施一般ガス導管事業者に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　認定高度保安実施一般ガス導管事業者の認定は、7年ごとに更新を受けなければ、その期間の経過によって、その効力を失う。

ロ　認定高度保安実施一般ガス導管事業者は、保安の確保のための組織又は保安の確保の方法に変更があったときは、遅滞なく、その旨を経済産業大臣に届け出なければならない。

ハ　認定高度保安実施一般ガス導管事業者は、ガス主任技術者の選任又はその解任については、経済産業大臣への届出を要しない。この場合においては、経済産業省令で定めるところにより、当該選任又は解任に係る記録を作成し、これを保存しなければならない。

ニ　認定高度保安実施一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の設置又は変更の工事(公害の防止上重要なものとして経済産業省令で定めるものを除く。)をしようとするときは、経済産業大臣への工事計画の届出を要しない。この場合においては、当該工事の完成後14日以内に、その旨を経済産業大臣に届け出なければならない。

ホ　認定高度保安実施一般ガス導管事業者は、工事計画の対象となるガス工作物について、経済産業省令で定めるところによる自主検査を行わずに当該ガス工作物を使用することができる。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,二、ホ
