問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""環境対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）窒素酸化物はノックス（Nox）といい、 燃料中に含まれる各種窒素化合物の燃焼により生成するものと、空気中の窒素が燃焼による高温状態で酸化されて生成するものとがあり、前者をサーマルNOXという。

（ロ）ばいじんとは、燃料等の燃焼に際して発生する、灰分又はすす等の固形物のことをいい、燃焼温度、空気比の適正な管理等の燃焼管理を強化することにより発生量を減少させることができる。

（ハ）都市ガス事業者にとって、環境問題への対応は、企業の社会的責任（CSR）として大きな柱になってきている。

（二）交流回路における電力（W）は、電圧（V）×電流（A）×力率で示され、力率が1に近いほど損失が少ない。

（ホ）廃棄物の処理及び清掃に関する法律に定義された産業廃棄物に該当しない廃棄物は、すべて特別管理産業廃棄物になる。"" ",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,イ、ホ
"A点からB点に低圧のガス100㎥/hを供給する導管AB（口径10cm、延長200m）がある。このとき、A点の圧力2.3kPa、B点の圧力2.1kPaであった。
新たにC点にガス400㎥/hを供給することとなり、導管AC（口径20cm、 延長400m）を新設した。A点の圧力2.3kPaのとき、C点の圧力（kPa）として最も近い値はどれか。なお、高低差は考慮しないものとする。",1.7,1.8,1.9,2,2.1,,,,,2.1
整圧器に関する次の記述のうち、誤っているものはどれか。,圧力上昇防止装置は、整圧器の故障により、二次側の圧力が異常に上昇することを防止するために用いられる。,直動式整圧器におけるメインバルブシートの不具合により、二次圧力が異常上昇した。,整圧器能力不足により、二次圧力が異常低下した。,フィルターのダスト類の詰りにより、二次圧力が異常低下した。,直動式整圧器におけるメインバルブへのダスト類のかみ込みによる締め切り不良により、二次圧力が異常低下した。,,,,,直動式整圧器におけるメインバルブへのダスト類のかみ込みによる締め切り不良により、二次圧力が異常低下した。
ガスメーターに関する次の記述のうち、誤っているものはどれか。,マイコンメーターはメーターに流れるガスの流量を監視し、あらかじめ設定した条件によって異常と判定した場合、自動的にガスを遮断する機能を備えている。,使用最大流量が16㎥/hのガスメーターの検定有効期間は、検定を受けた翌月1日から起算して10年である。,ガスメーターが計量法の規定による検定を受ける際の検定公差は、流量によらず±1.5%である。,"ガスメーターとしての必要条件の一つに、小型で容量が大きいことがある。
",ガスメーターの種類のうち超音波式は、流量を推測計量するものである。,,,,,ガスメーターが計量法の規定による検定を受ける際の検定公差は、流量によらず±1.5%である。
口径400mmの鋼管を用い、長さ50mで両端固定された架管を冬期（管体温度は-10℃）に設置することになった。夏期に架管全体の温度が40℃になるときに生じる応力を、架管途中に設けた伸縮継手で対処する場合、設計変位量（mm)として最も近い値はどれか。ただし、導管の線膨張係数は1.2×10⁻⁵ （1/℃）、内圧は0.3（MPa）、 ヤング率は2.1×10⁵（N/㎟）とする。,9,24,30,40,126,,,,,30
腐食と防食に関する次の記述のうち、誤っているものはどれか。,建物に引き込まれた配管は、ミクロセル腐食の原因となるコンクリートに接触する機会が多いため、一般に埋設配管部近くの架空配管部に絶縁継手を設置する。,防食設備の点検は、雨期等の土壌の湿潤期や電気鉄道の運行時等、防食状況の悪い時期や時間帯を選んで行うことが望ましい。,電解質中の鉄とマグネシウムを接続すると、自然電位がプラス側の鉄がカソードとなり、マグネシウムがアノードとなる。,管対地電位の測定では、照合電極は通常、飽和硫酸銅電極が用いられ、散水で土壌等との接地抵抗を下げて設置する。,選択排流法、 強制排流法のいずれの方式も、他の金属構造物への干渉及び過防食を考慮する必要がある。,,,,,建物に引き込まれた配管は、ミクロセル腐食の原因となるコンクリートに接触する機会が多いため、一般に埋設配管部近くの架空配管部に絶縁継手を設置する。
導管の工事に関する次の記述のうち、誤っているものはどれか。,電気防食を施した鋼管の切断にあたっては、火花が出ないように電気防食施設の電源を切っておき、さらに切断予定箇所の両端を短絡させる。,導管工事の着工準備にあたっては、資機材に不足のないように確認するとともに、掘削機械、ポンプ、転圧機、保安設備等の整備・点検を行う。,酸素欠乏のおそれのある場所において作業を行う場合は、異常時に直ちに応急措置及び関係者への通報ができるよう作業を2人以上で行う。,溶接部等の放射線透過試験を行う場合は、非破壊試験技術者を選定しなければならない。,"非開削工法の特徴の一つは、路上工事の縮減により交通への影響を低減できることである。
",,,,,溶接部等の放射線透過試験を行う場合は、非破壊試験技術者を選定しなければならない。
"""溶接と非破壊試験に関する次の記述のうち、いずれも正しいものの組合せはどれか。

（イ）被覆アーク溶接棒の心線は、大気中に放置すると水分を吸収し、 ブローボール等の欠陥の原因となる。

（ロ）溶接施工法は、溶接事業所又は工場ごとに確認を受けなければならない。

（ハ）被覆アーク溶接とは、溶接棒と母材との間にアークを発生させ、その熱によって溶接棒のみを溶かすことにより溶接を行うものである。

（二）磁粉探傷試験は、表面付近のきずの発見法として、非常に簡便であり、表面から数mm以内のきずの高さを容易に測定できる。

（ホ）本開先不良は、溶込み不良や割れ等の原因となる。""",イ、ハ,イ、ホ,ロ、二,ロ、ホ,ハ、二,,,,,ロ、ホ
"""ガス導管の維持管理に関する次の記述のうち、いずれも正しいものの組合せはどれか。

（イ）支管供給管一括採水装置は、初期採水は強力なバキューム圧を発生するエジェクターを使用し、後期採水はピグを使用し管内の水たまりを移動させ、完全に排水させる。

（ロ）スプレーシール工法は、ガス栓等からシール剤を噴射することで管内面に膜を形成し、腐食漏えい箇所を修理する工法である。

（ハ）水素炎イオン化式ガス検知器は、水素炎の中に炭化水素が入ると、炎の電気伝導度が増大する現象を利用したもので、H2, CO等は検出できない。

（二）マッピングシステムは、地図情報、本支管等設備の位置や管理情報（口径、管種等）、地域管理情報をレイヤーに区分しデータベース化したシステムであり、様々な業務に活用できる。

（ホ）パイプロゲーターは、誘導法の方が直接法より精度的に優れている。""",イ、ハ,イ、ホ,口、二,口、ホ,ハ、二,,,,,ハ、二
"""地震により低圧導管の供給を停止した地域の復旧作業の基本フローとして最も適切なものはどれか。

　　A：復旧ブロック化
　　B：本支供灯外内管のエアパージ 
　　C：供給管切断 
　　D：灯内内管の漏えい検査・修理 
　　E：本支供灯外内管のテスト昇圧 
　　F：本支供灯外内管の差水箇所修理・採水 
　　G：本支供灯外内管の漏えい調査・漏えい修理 """,閉栓→E→A→B→C→D→E→F→G→開栓,閉栓→A→C→F→E→G→E→B→D→開栓,閉栓→A→C→F→B→E→G→E→D→開栓,閉栓→B→A→C→F→E→G→E→D→開栓,閉栓→E→G→F→A→C→E→B→D→開栓,,,,,閉栓→A→C→F→E→G→E→B→D→開栓
燃焼時の諸現象及びガスとガス機器の適応に関する次の記述のうち、誤っているものはどれか。,可燃性混合ガスは、温度が一定であれば、圧力が上昇すると燃焼範囲は広くなる。,サーマルNOxの生成量は、燃焼ガス温度の高い、空気比1付近で最大となり、滞留時間が長いほど多く生成する。,"不完全燃焼の原因には、空気との接触や混合が不十分、排気の排出不良等がある。
",ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の遅いガスでは大きく、速いガスでは小さくなる。,ガスの燃焼速度指数（MCP）が小さくなり、ガス機器の互換域を外れた場合、リフティングが発生する。,,,,,ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の遅いガスでは大きく、速いガスでは小さくなる。
"""赤火燃焼式に関する次の記述のうち、（イ）~（ハ）にあてはまる語句の組合せとして最も適切なものはどれか。

　　赤火燃燒式　　空気割合（一次空気）　0%　　空気割合（二次空気）　100%　
　　炎の色　（イ）　　炎の長さ　（ロ）　　炎の温度（°C）　（ハ）""",（イ）　赤　（ロ）　長い　（ハ）　約1300,（イ）　赤　（ロ）　短い　（ハ）　約1300,（イ）　赤黄　（ロ）　長い　（ハ）　約1300,（イ）　赤黄　（ロ）　短い　（ハ）　約900,（イ）　赤黄　（ロ）　長い　（ハ）　約900,,,,,（イ）　赤黄　（ロ）　長い　（ハ）　約900
"家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。

*省エネ法とは、「エネルギーの使用の合理化等に関する法律」をいう。 ",ガスこんろの熱効率は、省エネ法*に基づくトップランナー基準の導入以降、炎の広がりを抑える、鍋底との距離を近づける等の改良により向上した。,ガスオーブンは、熱風をファンによって強制的に撹拌しているため、調理時間が早く、一度に多量の調理ができる。,FF暖房機には、立ち消え安全装置、点火時安全装置、転倒時安全装置等の安全装置が搭載されている。,ファンヒーターでは、設定温度とセンサーで検知した室温との温度差分を電気量に変換することで比例弁を駆動させ、ガス量に比例して対流ファン風量を制御する。,回転ドラム式衣類乾燥機には、接触した衣類の抵抗値を測定して、湿り具合を判断する乾燥センサーが搭載されている。,,,,,FF暖房機には、立ち消え安全装置、点火時安全装置、転倒時安全装置等の安全装置が搭載されている。
家庭用ガス温水機器に関する次の記述のうち、誤っているものはどれか。,10号の瞬間湯沸器は、水温20℃の水を45℃へ上昇させたお湯を毎分10L出せる能力を有している。,自己診断機能には、給気ファンの回転数と電圧値を計測し、給排気通路の閉そく状態を診断する方法がある。,給湯負荷に応じて最適な燃焼になるように、ガス量と空気量を制御することを空燃比制御 という。,浴室暖房乾燥機の主要4機能とは、暖房、乾燥、涼風及び換気である。,ふろ給湯器の設置方式には、設置フリー形があり、ポンプの揚程により設置位置を選択できる。,,,,,自己診断機能には、給気ファンの回転数と電圧値を計測し、給排気通路の閉そく状態を診断する方法がある。
業務用ガス機器、ガス冷暖房及びコージェネレーションシステムに関する次の記述のうち、誤っているものはどれか。,麺ゆで器の丸釜式には、ダウンドラフト方式により、省エネルギー性を高めたタイプがある。,ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とパルス燃焼方式 のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。,吸収冷凍機の吸収冷凍サイクルは、蒸発、吸収、再生及び凝縮の各工程からなり、蒸発工程で作られる冷水を用いて冷房する。,コージェネレーションシステムの電主熱従運転は、電力の負荷に合わせて発電し、廃熱はできるだけ利用し、もし余れば放熱する方法である。,家庭用固体酸化物形燃料電池（SOFC）の発電効率は、家庭用ガスエンジンコージェネレーションシステムの発電効率より高い。,,,,,ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とパルス燃焼方式 のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。
換気及び給排気方式に関する次の記述のうち、 誤っているものはどれか。,機械換気の方法には、換気扇等のファンを、給気口に設置する第2種換気や、排気口に設置する第3種換気がある。,建築基準法により、火気を使用する台所等には、必ず法令で定められた換気設備を設けなければならない。,集合住宅において、パイプシャフトの扉部にはRF式機器が、パイプシャフト内部（壁面）にはFF式機器が設置される。,CF式機器の一次排気筒は、設置環境に応じて長さを調整する必要がある。,RF式機器の設置工事は、ガス消費機器設置工事監督者の監督下で施工する必要はない。,,,,,CF式機器の一次排気筒は、設置環境に応じて長さを調整する必要がある。
ガス機器の制御装置及び安全装置に関する次の記述のうち、 誤っているものはどれか。,温水機器の空だき防止装置には、バイメタル式とサーミスター式がある。,温度制御に用いられるサーミスターは、金属の酸化物を2種類以上混合、焼結したもので、負の温度特性を持ちその値は等比的に変化する。,立ち消え安全装置には、熱起電力を利用して炎の検知を行う熱電対式と、炎の導電性と整流性を利用して炎の検知を行うフレームロッド式がある。,過熱防止装置として利用される温度ヒューズは、取り付け部分の雰囲気温度が異常に高くなった場合に回路を遮断し、再起動するには交換しなければならない。,ガス量を制御する方式には、段階的にガス量を制御する多段式と、連続的にガス量を制御する比例制御式がある。,,,,,温水機器の空だき防止装置には、バイメタル式とサーミスター式がある。
警報器に関する次の記述のうち、誤っているものはどれか。,ガス警報器は、 メタン濃度が0.2~0.5%程度で鳴り始めるよう調整されているものが多い。,電池式ガス警報器には、火災警報機能や不完全燃焼警報機能を搭載したものがある。,半導体式ガス警報器は、センサーに可燃性ガスが触れるとその表面に化学吸着して、半導体の電気伝導度が低下する性質を利用してガスを検知する。,業務用換気警報器に用いられる電気化学式センサーの構造及び原理は、ほぼ燃料電池と同様である。,"業務用換気警報器は、 ガス機器から水平距離は50cm以上8m以内で、 ガス機器が設置してある部屋と同一の室内に設置しなければならない。
",,,,,ゴム管用ソケットは、ガスソフトコードに取り付けて使用し、コンセントロのガス栓又はガス栓用プラグと接続する迅速継手である。
ガス機器とガス栓との接続に関する次の記述のうち、誤っているものはどれか。,常設形ガス機器のガス栓は、ガスコンセントやオンオフヒューズガス栓を用いる。,常設形業務用厨房機器とガス栓との接続には、金属可とう管が使用されている。,ゴム管用ソケットは、ガスソフトコードに取り付けて使用し、コンセントロのガス栓又はガス栓用プラグと接続する迅速継手である。,ガスコンセントでは、迅速継手が不完全に接続された場合でも、ガスは流れず漏れない。,ガスコードは、鋼線で補強されたゴム製ホースの両端に迅速継手がついた定尺の接続具で、ガスコンセントとファンヒーター等との接続に用いられる。,,,,,常設形ガス機器のガス栓は、ガスコンセントやオンオフヒューズガス栓を用いる。
